,Median Selling Prices of Homes in U.S. Cities (n = 163 cities),,,Source: http://www.realtor.org,,,,,,,,"As of April, 2013"
,,,,,,,,,,,,
,Metropolitan Area,State(s),Region,2004,2005,2006,2007,2008,2009,2010,2011,2012 p
1,"Abilene, TX",TX,Southeast,,,,,,,112.8,119.2,124.6
2,"Akron, OH ",OH,Central,116.9,120.5,114.6,119.3,100.5,93.2,108.9,90.9,109.5
3,"Albany-Schenectady-Troy, NY",NY,Northeast,161.3,183.5,195.4,198.9,197.9,189.1,195.7,193.8,200.3
4,"Albuquerque, NM",NM,West,145.4,169.2,184.2,198.5,192.6,180.6,178.7,167.9,170.3
5,"Allentown-Bethlehem-Easton, PA-NJ ",PA-NJ,Northeast,207.3,243.4,248.1,260.8,243.6,223.4,224,185.4,189.6
6,"Amarillo, TX",TX,Southeast,97.1,107.1,114.9,118.4,124.7,123.8,124.7,128.2,133.8
7,"Anaheim-Santa Ana, CA  (Orange Co.)",CA,West,627.3,691.9,709,709.5,533.2,477.2,544.7,512.5,542.7
8,"Appleton, WI",WI,Central,122.9,129.6,129.2,130,127.4,115.6,119,115.7,114.2
9,"Atlanta-Sandy Springs-Marietta, GA ",GA,Southeast,156.9,167.2,171.8,172,149.5,123.5,114.8,98.6,101.4
10,"Atlantic City, NJ",NJ,Northeast,197.9,256.1,254.8,269.7,253.3,221.3,226.4,223.2,220.4
11,"Austin-Round Rock, TX ",TX,Southeast,154.7,163.8,173.7,183.7,188.6,187.4,193.6,193.1,206
12,"Baltimore-Towson, MD",MD,Northeast,217,265.3,279.9,286.1,274.1,251.2,246.1,230,206
13,"Barnstable Town, MA",MA,Northeast,377.2,398.3,389.5,384.7,341.9,321,326,311.5,320.5
14,"Baton Rouge, LA",LA,Southeast,127.7,146.2,169.5,174.4,165,163,169.6,163.4,164.3
15,"Beaumont-Port Arthur, TX ",TX,Southeast,93.5,98.5,112.7,123,127.4,132.4,125.1,124.2,127.8
16,"Binghamton, NY ",NY,Northeast,85.3,94.4,96.9,111.2,113.7,115.7,110.3,113.8,109.5
17,"Birmingham-Hoover, AL ",AL,Southeast,146.6,157,165.1,161.3,153.9,146.1,143,139.8,151.1
18,"Bismarck, ND",ND,Central,113.8,124.9,134.9,152.9,155.2,156.6,163.4,166.9,193
19,"Bloomington-Normal, IL ",IL,Central,147.8,159.2,152.2,154,159.8,152.8,157.9,155.1,156.4
20,"Boise City-Nampa, ID",ID,West,,,,,188.7,153.8,136.2,115.4,138.7
21,"Boston-Cambridge-Quincy, MA-NH",MA-NH,Northeast,389.7,413.2,402.2,395.6,361.1,332.6,357.3,346.2,351.2
22,"Boulder, CO ",CO,West,325.3,348.4,366.4,376.2,359.6,345.5,358.1,353.1,383.7
