REGION,AGE,RACE,RACED,HISPAN,HISPAND,EDUCD,DEGFIELD,CIT,COW,MAR,MIL,PAP,SEX,HICOV,INDP,INCWAGE,POVPIP,POWSP,SOCP,PINCP
3,68,2,200,0,0,63,0,1,B,2,4,0,2,1,BBBB,0,114,BBB,BBBBBB,16800
3,49,2,200,0,0,30,0,1,B,5,4,0,1,1,BBBB,0,114,BBB,BBBBBB,0
3,31,1,100,0,0,65,0,1,1,1,4,0,2,1,8660,2300,166,1,372012,2300
3,34,1,100,0,0,40,0,1,1,1,4,0,1,1,4280,30000,166,1,514120,30000
3,63,1,100,0,0,63,0,1,1,3,4,0,2,1,7280,25000,198,1,433021,25000
3,90,1,100,0,0,101,14,1,1,1,2,0,1,1,570,0,307,BBB,435081,33600
3,89,1,100,0,0,114,23,1,B,1,4,0,2,1,BBBB,0,307,BBB,BBBBBB,11840
3,88,1,100,0,0,71,0,1,B,2,4,0,2,1,BBBB,0,355,BBB,BBBBBB,41000
3,47,1,100,0,0,114,61,1,5,1,1,0,1,1,9670,96000,326,1,333050,94500
3,42,1,100,0,0,101,21,1,B,1,4,0,2,1,BBBB,0,326,BBB,BBBBBB,0
3,16,1,100,0,0,40,0,1,B,5,B,0,2,1,BBBB,0,326,BBB,BBBBBB,0
3,69,2,200,0,0,101,50,1,1,4,2,0,1,1,1870,0,174,BBB,537062,20210
3,71,1,100,0,0,101,23,1,B,3,4,0,2,1,BBBB,0,293,BBB,BBBBBB,33800
3,58,1,100,0,0,116,64,1,6,1,4,0,2,1,7270,0,501,1,2310XX,100000
3,62,1,100,0,0,81,0,1,4,1,4,0,1,1,7590,0,501,BBB,232090,2200
3,20,1,100,0,0,71,0,1,3,5,4,0,2,1,9470,2000,501,BBB,436010,2000
3,41,1,100,0,0,63,0,1,1,3,4,0,2,2,6870,25500,203,1,433071,25500
3,60,2,200,0,0,50,0,1,B,5,4,0,1,1,BBBB,0,0,BBB,BBBBBB,0
3,69,1,100,0,0,40,0,1,B,3,4,0,1,1,BBBB,0,64,BBB,BBBBBB,7500
3,58,1,100,0,0,63,0,1,1,3,4,0,2,1,3895,38300,306,1,519120,38300
3,33,1,100,0,0,81,0,1,1,1,4,0,1,1,8190,50000,391,1,312020,50000
3,42,1,100,0,0,71,0,1,3,1,4,0,2,1,9470,27000,391,1,434071,27000
3,23,6,620,0,0,71,0,4,B,5,4,0,1,1,BBBB,0,0,BBB,BBBBBB,0
3,40,1,100,0,0,63,0,1,1,1,4,0,1,1,5480,41300,333,1,111021,41300
3,37,1,100,0,0,114,23,1,3,1,4,0,2,1,7860,46000,333,1,254021,46000
3,17,1,100,0,0,61,0,1,1,5,4,0,1,1,8680,1100,333,BBB,353021,8700
3,43,1,100,4,411,71,0,4,3,1,4,0,1,1,9470,55000,487,1,332011,55000
3,39,1,100,0,0,116,62,3,3,1,4,0,2,1,9480,37500,487,BBB,431011,37500
3,17,1,100,4,411,61,0,4,1,5,4,0,2,1,8680,2800,487,1,359031,2800
3,72,1,100,0,0,71,0,1,B,3,4,0,2,1,BBBB,0,501,BBB,BBBBBB,84300
3,85,1,100,0,0,30,0,1,B,2,4,0,1,1,BBBB,0,473,BBB,BBBBBB,20000
3,56,1,100,0,0,71,0,1,1,2,4,0,1,1,770,50000,473,1,472111,50000
3,68,1,100,0,0,114,23,1,5,5,4,0,2,1,8190,0,437,BBB,291141,51010
3,65,1,100,0,0,71,0,1,B,3,4,0,2,1,BBBB,0,185,BBB,BBBBBB,21600
3,47,1,100,0,0,101,62,1,6,3,4,0,1,1,770,0,501,1,119021,75000
3,71,1,100,0,0,63,0,1,B,2,4,0,2,1,BBBB,0,198,BBB,BBBBBB,23000
3,69,2,200,0,0,81,0,1,6,1,2,0,1,1,7770,0,501,1,371012,64000
3,67,2,200,0,0,71,0,1,B,1,4,0,2,1,BBBB,0,501,BBB,BBBBBB,21600
3,31,1,100,0,0,50,0,1,1,1,4,0,1,2,170,36000,234,1,4520XX,36000
3,29,1,100,0,0,40,0,1,1,1,4,0,2,2,770,1900,234,BBB,537062,1900
3,74,1,100,0,0,71,0,1,B,1,3,0,1,1,BBBB,0,424,BBB,BBBBBB,55000
3,71,1,100,0,0,71,0,1,B,1,4,0,2,1,BBBB,0,424,BBB,BBBBBB,7000
3,63,1,100,0,0,2,0,1,B,3,4,0,1,1,BBBB,0,12,BBB,BBBBBB,1600
3,61,1,100,0,0,63,0,1,6,1,4,0,1,1,8770,0,252,1,536051,13000
3,62,1,100,0,0,101,23,1,1,1,4,0,2,1,8180,28000,252,1,319097,28000
3,89,1,100,0,0,63,0,1,B,2,4,0,2,1,BBBB,0,501,BBB,BBBBBB,271800
3,55,1,100,0,0,65,0,1,1,1,4,0,2,1,4870,25000,214,1,412010,25000
3,65,1,100,0,0,30,0,1,B,1,4,0,1,1,BBBB,0,214,BBB,BBBBBB,14400
3,23,1,100,0,0,63,0,1,1,5,4,0,1,1,7070,0,214,BBB,373010,1000
3,85,1,100,0,0,2,0,1,1,1,4,0,1,1,4870,11000,157,1,537062,23000
3,77,1,100,0,0,2,0,1,B,1,4,0,2,1,BBBB,0,157,BBB,BBBBBB,0
3,62,1,100,0,0,101,54,1,4,1,4,0,2,1,9480,0,279,BBB,211020,32800
3,66,1,100,0,0,63,0,1,1,1,4,0,1,1,8770,0,279,BBB,493022,12300
3,47,1,100,0,0,101,62,1,1,3,4,0,2,1,8190,32000,199,1,436010,39000
3,17,1,100,0,0,50,0,1,B,5,4,0,2,1,BBBB,0,199,BBB,BBBBBB,0
3,64,1,100,0,0,101,62,1,1,1,4,0,1,1,6990,70000,501,1,131070,70000
3,60,1,100,0,0,101,61,1,2,1,4,0,2,2,8190,33000,501,1,291141,33000
3,36,1,100,0,0,101,62,1,1,1,4,0,2,1,7290,95000,501,1,273042,95000
3,37,1,100,0,0,71,0,1,1,1,4,0,1,1,6070,37400,501,1,151150,37400
3,70,1,100,0,0,116,37,1,1,1,3,0,1,1,7290,14200,501,1,1110XX,74200
3,59,1,100,0,0,101,62,1,1,1,4,0,2,1,7380,10000,501,1,119XXX,10000
3,31,2,200,0,0,71,0,1,1,4,4,0,2,1,8680,14400,58,1,353031,14400
3,33,1,100,0,0,101,23,1,1,1,4,0,2,1,8190,30000,374,1,291141,30000
3,35,1,100,0,0,101,57,1,1,1,4,0,1,1,3780,50000,374,BBB,37201X,62600
3,75,1,100,0,0,63,0,1,B,1,4,0,2,1,BBBB,0,281,BBB,BBBBBB,16800
3,77,1,100,0,0,63,0,1,B,1,4,0,1,1,BBBB,0,281,BBB,BBBBBB,14500
3,53,1,100,0,0,63,0,1,B,2,4,0,1,1,BBBB,0,281,BBB,BBBBBB,22400
3,59,1,100,0,0,101,62,1,4,3,4,0,2,1,7870,76000,501,1,251000,76000
3,32,1,100,0,0,71,0,1,1,1,4,0,2,1,7070,40000,196,1,112020,41700
3,34,1,100,0,0,30,0,1,1,1,2,0,1,1,8270,15000,196,BBB,37201X,15000
3,17,2,200,0,0,63,0,1,B,2,4,0,2,1,BBBB,0,0,BBB,BBBBBB,0
3,30,2,200,0,0,65,0,1,1,1,4,0,2,1,8680,3000,63,BBB,353021,4500
3,41,2,200,0,0,81,0,1,5,1,2,0,1,1,9590,0,63,BBB,339030,21000
3,25,1,100,0,0,101,24,1,1,1,4,0,1,1,4265,100000,501,1,119XXX,100000
3,24,1,100,4,460,101,23,1,2,1,4,0,2,1,9160,30000,501,1,212099,30000
3,50,1,100,0,0,114,50,1,1,5,4,0,2,1,8180,92000,501,1,299000,92000
3,27,1,100,0,0,101,26,1,3,5,4,0,1,1,7860,37000,295,1,252020,37000
3,63,1,100,0,0,71,0,1,1,1,2,0,1,1,3570,89000,501,BBB,49904X,89300
3,62,1,100,0,0,101,61,1,2,1,4,0,2,1,8190,10900,501,BBB,291141,10900
3,78,2,200,0,0,30,0,1,B,2,4,0,2,1,BBBB,0,126,BBB,BBBBBB,13200
3,49,2,200,0,0,101,23,1,1,3,4,0,2,1,8290,13000,126,1,399021,18000
3,55,1,100,0,0,101,62,1,1,3,4,0,1,1,6170,45000,300,13,533030,45000
3,18,1,100,0,0,63,0,1,1,5,4,0,1,1,4970,3700,300,1,435081,3700
3,66,1,100,0,0,101,61,1,2,2,4,0,2,1,8370,8700,187,1,436010,21700
3,82,1,100,0,0,63,0,1,B,2,4,0,2,1,BBBB,0,166,BBB,BBBBBB,19300
3,55,4,410,0,0,114,62,4,1,1,4,0,2,1,7380,100000,501,1,15113X,120700
3,36,1,100,0,0,71,0,1,2,1,4,0,1,2,9160,48000,268,1,212011,48000
3,37,1,100,0,0,71,0,1,1,1,4,0,2,2,7970,18000,268,1,433021,18000
3,51,1,100,0,0,63,0,1,1,3,4,0,2,1,8680,10000,79,1,353031,10000
3,58,1,100,0,0,63,0,1,1,1,4,0,1,1,670,41000,501,1,113051,59900
3,54,1,100,0,0,71,0,1,1,1,4,0,2,1,6870,37000,501,1,1110XX,37000
3,61,1,100,0,0,63,0,1,1,3,4,0,2,1,7480,26000,217,BBB,434171,27200
3,64,1,100,0,0,71,0,1,B,3,4,0,1,1,BBBB,0,128,BBB,BBBBBB,16000
3,76,1,100,0,0,63,0,1,B,4,4,0,2,1,BBBB,0,129,BBB,BBBBBB,18900
3,55,1,100,0,0,114,52,1,1,5,4,0,1,1,7590,0,129,BBB,413099,0
3,54,2,200,0,0,101,62,1,3,3,4,0,2,1,9370,36700,256,1,432099,41500
3,17,2,200,0,0,50,0,1,3,5,4,0,1,1,7860,1800,256,1,399011,1800
3,50,1,100,0,0,71,0,1,1,1,4,0,1,1,4880,32000,145,1,411011,32000
3,49,1,100,0,0,71,0,1,3,1,4,0,2,2,7860,15000,145,BBB,3590XX,15000
3,16,1,100,0,0,40,0,1,B,5,B,0,1,1,BBBB,0,145,BBB,BBBBBB,0
3,52,1,100,0,0,81,0,3,1,3,4,0,2,1,7970,24700,194,1,319092,24700
3,60,1,100,0,0,64,0,4,1,3,4,0,2,1,8680,7200,56,1,352010,7200
3,47,1,100,0,0,81,0,1,B,3,4,0,2,1,BBBB,0,11,BBB,BBBBBB,1420
3,54,1,100,0,0,65,0,1,3,1,3,0,1,1,8180,48000,467,1,292041,48000
3,50,1,100,0,0,81,0,1,3,1,4,0,2,1,8180,28000,467,1,292041,28000
3,62,2,200,0,0,114,37,4,4,4,4,0,2,1,7860,58000,460,1,252030,58000
3,38,1,100,0,0,30,0,1,1,5,4,0,2,1,3980,33000,113,1,519041,33000
3,18,1,100,0,0,50,0,1,B,5,4,0,2,1,BBBB,0,113,BBB,BBBBBB,0
3,42,1,100,0,0,61,0,1,1,5,4,0,1,1,1680,24000,189,1,49904X,24000
